epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/distill_feat_loss,train/distill_cls_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/distill_feat_loss,val/distill_cls_loss,old/metrics/precision(B),old/metrics/recall(B),old/metrics/mAP50(B),old/metrics/mAP50-95(B),new/metrics/precision(B),new/metrics/recall(B),new/metrics/mAP50(B),new/metrics/mAP50-95(B),joint/metrics/precision(B),joint/metrics/recall(B),joint/metrics/mAP50(B),joint/metrics/mAP50-95(B),lr/pg0,lr/pg1,lr/pg2
56,2811.56,0.94346,0.54289,0.94524,0.05746,0.00284,0.85178,0.8353,0.88014,0.62672,0.98606,0.5385,0.99723,0.05875,0.00274,0.94702,0.9215,0.97061,0.69587,0.91846,0.70588,0.75856,0.53812,0.85073,0.84265,0.84928,0.60666,0.000759318,0.000759318,0.000759318
57,2860.91,0.96315,0.5578,0.96187,0.05459,0.00291,0.89561,0.82208,0.87976,0.61924,0.97529,0.52891,0.98733,0.05076,0.00265,0.94473,0.94369,0.97924,0.70797,0.85257,0.70588,0.71549,0.49016,0.87995,0.79151,0.84311,0.59623,0.000742815,0.000742815,0.000742815
58,2910.29,0.95888,0.54494,0.9571,0.05601,0.00298,0.89198,0.77233,0.8745,0.63113,0.95275,0.53558,0.98834,0.05686,0.00274,0.94743,0.9215,0.97174,0.70851,0.74624,0.69261,0.70247,0.52453,0.78671,0.8027,0.82899,0.61085,0.000726312,0.000726312,0.000726312
59,2960.72,0.95656,0.54629,0.94438,0.06385,0.00294,0.94497,0.7723,0.87552,0.63603,0.9476,0.52148,0.97693,0.04639,0.00271,0.96611,0.92427,0.97942,0.71682,0.79807,0.69794,0.72222,0.53896,0.89412,0.78684,0.84591,0.62413,0.000709809,0.000709809,0.000709809
60,3010.28,0.92298,0.52091,0.93441,0.05027,0.00284,0.86281,0.82137,0.85315,0.60239,0.93414,0.52203,0.98261,0.06381,0.00285,0.95422,0.92484,0.9774,0.71947,0.79757,0.64706,0.69689,0.48494,0.87054,0.78769,0.83085,0.5977,0.000693305,0.000693305,0.000693305
61,3059.78,0.94659,0.53612,0.94499,0.05754,0.00307,0.87078,0.8286,0.88161,0.62323,0.99721,0.53947,0.99159,0.05078,0.00278,0.9574,0.92662,0.9801,0.69814,0.8542,0.69011,0.73782,0.53658,0.84599,0.83985,0.85554,0.6145,0.000676802,0.000676802,0.000676802
62,3109.45,0.95414,0.52513,0.94484,0.05954,0.00285,0.91927,0.76282,0.88886,0.64313,0.93187,0.51931,0.97768,0.06299,0.00265,0.95589,0.93345,0.98419,0.72668,0.85617,0.70066,0.71903,0.49604,0.872,0.83086,0.8419,0.60399,0.000660299,0.000660299,0.000660299
63,3159.26,0.91279,0.52517,0.92277,0.05891,0.00278,0.91724,0.7709,0.9094,0.62765,0.9546,0.52292,0.98493,0.05291,0.00274,0.94344,0.92662,0.97506,0.71304,0.84336,0.70588,0.73161,0.48738,0.86332,0.81284,0.8465,0.59476,0.000643795,0.000643795,0.000643795
64,3209.19,0.92637,0.52669,0.93208,0.05802,0.00291,0.76831,0.83502,0.86971,0.6192,0.98744,0.53919,0.9881,0.05349,0.00268,0.96765,0.91878,0.97842,0.70804,0.78819,0.65724,0.72631,0.52001,0.89505,0.77831,0.84798,0.61026,0.000627292,0.000627292,0.000627292
65,3258.68,0.92043,0.51953,0.94024,0.05349,0.00294,0.80752,0.8266,0.87113,0.63561,0.95843,0.53123,0.98323,0.04935,0.00268,0.96246,0.91638,0.97319,0.70517,0.8084,0.76471,0.73982,0.55978,0.88934,0.84611,0.85255,0.62905,0.000610789,0.000610789,0.000610789
